DO7f21d8-221009-UK2b5b70,UK2b5b70-221009-e2d738ca,방울이,말티즈,모르겠어요,3.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2477636742/2c8d6eb9.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2477636742/2c8d6eb9.jpeg,25,28,20,20,USER,USER,USER,USER,45:26.6,1,0,FALSE
DO3ac486-221013-UK2e5b67,UK2e5b67-221013-713c1fd5,아둥이,웰시 코기,모르겠어요,12,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2482912381/d55cd447.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2482912381/d55cd447.jpeg,40,45,30,15,USER,USER,USER,USER,32:02.0,1,0,FALSE
DO3046f8-221026-UK2efc1d,UK2efc1d-221026-123b2625,연탄,믹스 소형견,모르겠어요,2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2500148271/dd32a480.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2500148271/dd32a480.jpeg,20,29,19,11,USER,USER,USER,USER,42:15.3,1,0,FALSE
DO881ffd-221025-UK2f19a7,UK2f19a7-221025-709bebf6,쫄이,포메라니안,모르겠어요,2.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2498141221/23242026.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2498141221/23242026.jpeg,40,55,25,12,USER,USER,USER,USER,50:52.3,1,0,FALSE
DO54bbd0-221007-UK37e09b,UK37e09b-221007-13ae9a84,권꼬미,포메라니안,모르겠어요,4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475342189/f0621f96.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475342189/f0621f96.jpeg,38.5,24.5,24,13,USER,USER,USER,USER,51:54.6,1,0,FALSE
DOe74efd-221010-UK3ecbf1,UK3ecbf1-221010-e1408c45,달,재패니즈 스피츠,모르겠어요,5.8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2478507995/5eff6038.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2478507995/5eff6038.jpeg,17.5,29.5,12.9,18,USER,USER,USER,USER,17:38.4,0,0,FALSE
DO52ea4f-221024-UK413c36,UK413c36-221024-ce2e1ee5,빠숑,비숑 프리제,모르겠어요,4.3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2496929386/aaf72bed.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2496929386/aaf72bed.jpeg,38.1,35.4,23.6,17.8,USER,USER,USER,USER,45:41.0,1,0,FALSE
DO8931b0-221020-UK427704,UK427704-221020-6df3ff56,땅콩,포메라니안,모르겠어요,0.75,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2492073231/1f41801c.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2492073231/1f41801c.jpeg,25,21,7,8,USER,USER,USER,USER,54:03.2,1,0,FALSE
DObf0884-221007-UK459e40,UK459e40-220922-ec926203,감자,포메라니안,모르겠어요,3.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2439801783/8148041e.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2439801783/8148041e.jpeg,36,24,23,13,USER,USER,USER,USER,27:24.2,0,0,FALSE
DO24d9d9-221029-UK50235e,UK50235e-221029-ed0b9a36,산이,푸들 미디엄미니어처,모르겠어요,9.8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2502838293/186b2a3b.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2502838293/186b2a3b.jpeg,50,50,31.5,20,USER,USER,USER,USER,44:10.4,1,0,FALSE
