UKca8cf6-220828-458f7216,솔,푸들토이,여자,3.8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2406320575/3e19574d.jpeg,35.82,32,23.75,15.95,RECOMMEND,USER,RECOMMEND,RECOMMEND,52:04.6,1,0,TRUE
UK77c45e-220828-c9cd5197,춘배,시바 이누,남자,16.6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2406983734/4c37409d.jpeg,56.45,50.56,38.05,14.72,USER,USER,USER,USER,51:22.5,1,0,TRUE
UK7f7640-220917-527d297b,폼,베드링턴 테리어,남자,10.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2432937864/892b8730.jpeg,55,39,31,24,USER,USER,USER,USER,36:45.5,1,0,TRUE
UK872203-220919-ec4ce3a5,조히릿,비숑 프리제,여자,4.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2436045165/2952488c.jpeg,38,37,22.4,21,USER,USER,USER,USER,12:32.2,1,0,TRUE
US5f1e01-220725-befedaba,행복이,푸들 미디엄미니어처,모르겠어요,7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/erref3943/4ea31d8f.jpeg,47,38,27,22,USER,USER,USER,USER,53:31.6,0,0,TRUE
UK97b359-220812-fa3926cc,설이,비숑 프리제,모르겠어요,4.4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2385285551/50883145.jpeg,35,33,23,19,USER,USER,USER,USER,08:09.6,0,0,TRUE
UK6a40ca-220810-cb375acf,크림,믹스 소형견,모르겠어요,7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2383388464/72447884.jpeg,47,37,31,13,USER,USER,USER,USER,05:35.6,0,0,TRUE
UK8cca39-220921-2b9d4bc9,삼백,비숑 프리제,모르겠어요,2.8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2437728266/0bff0335.jpeg,33.29,28.78,20.36,14.86,USER,USER,USER,USER,14:25.5,1,0,TRUE
UK3bd327-220921-a4f748b7,구름이,믹스 중형견,모르겠어요,5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2437747292/e48c072d.jpeg,42.29,35.5,25.7,18.07,USER,USER,USER,USER,56:49.5,1,0,TRUE
UKf0607f-220921-1178863c,tmo,바센지,모르겠어요,3.1,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2437949426/063bf0f1.jpeg,33,23.5,23.6,15.5,USER,USER,USER,USER,04:58.3,1,0,TRUE
UK8ae72e-220906-fa2a74fc,준명,바센지,모르겠어요,3.1,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2419234145/72cf6640.jpeg,32,23,22,14,USER,USER,USER,USER,28:51.2,0,0,TRUE
UK2f59ba-220921-8bdcbe82,칸쵸,말티즈,모르겠어요,1.9,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438087226/0f6043b2.jpeg,28,20,21,10,USER,USER,USER,USER,50:28.4,1,0,TRUE
UKac32fe-220921-939b47e9,해치,아메리칸 코카 스파니엘,모르겠어요,10,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438241204/846d20d4.jpeg,49.56,43.15,31.27,22.78,USER,USER,USER,USER,55:11.4,1,0,TRUE
UK86a75d-220921-720da990,채채,푸들 미디엄미니어처,모르겠어요,6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438267124/c46e3fc7.jpeg,25,28,20,17,USER,USER,USER,USER,15:50.2,1,0,TRUE
UKb90fa2-220921-3c0f922a,별이,요크셔 테리어,모르겠어요,3.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438282267/538a070d.jpeg,38,26,28,23,USER,USER,USER,USER,27:47.0,1,0,TRUE
UK34d1f5-220921-696f8d86,장아찌,비숑 프리제,모르겠어요,6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438305054/7d1c7de3.jpeg,43.32,38.32,26.65,19.33,USER,USER,USER,USER,45:47.9,1,0,TRUE
UK46f229-220921-3ae7b97b,별이,비숑 프리제,모르겠어요,6.3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438307506/a0abe0d4.jpeg,43,36,28,19.5,USER,USER,USER,USER,47:10.7,1,0,TRUE
UK13685a-220921-0502bac9,시월,비숑 프리제,모르겠어요,6.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438308142/6d5fea96.jpeg,43.39,38.36,27.97,20.1,USER,USER,USER,USER,47:57.3,1,0,TRUE
UK72d40d-220921-2451d628,솜이,포메라니안,모르겠어요,2.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438312618/79efcc3d.jpeg,35,27,23,18,USER,USER,USER,USER,52:58.7,1,0,TRUE
UK039d66-220921-956fabf7,꼼지,믹스 중형견,모르겠어요,8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438383168/3d5923cd.jpeg,30,23,19,14,USER,USER,USER,USER,44:21.1,1,0,TRUE
UK8428d1-220921-250f9009,맹구,닥스훈트,모르겠어요,7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438418640/49ba3f67.jpeg,25.3,25.3,25.3,10,USER,USER,USER,USER,11:16.6,1,0,TRUE
